epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.771,1.29206,1.59745,1.21704,0.91849,0.93774,0.96635,0.69675,0.98101,1.00214,1.04632,0.000661499,0.000661499,0.000661499
2,393.518,0.94332,0.88571,1.04411,1,0.96819,0.99432,0.78351,0.86858,0.94596,1.11217,0.00130187,0.00130187,0.00130187
3,460.464,0.87568,0.68177,1.02879,0.98433,0.97788,0.98637,0.79516,0.79382,0.59661,1.01501,0.00191584,0.00191584,0.00191584
4,525.214,0.82093,0.5764,1.00753,0.99902,0.98444,0.9935,0.81801,0.80192,0.61835,1.07295,0.0018812,0.0018812,0.0018812
5,590.878,0.77917,0.52373,0.99169,0.99228,0.99965,0.99445,0.85771,0.5978,0.42818,0.95298,0.0018416,0.0018416,0.0018416
6,658.476,0.73155,0.47387,0.97602,0.99809,0.98833,0.99496,0.83809,0.73967,0.4532,1.05957,0.001802,0.001802,0.001802
7,723.316,0.69386,0.45138,0.96795,0.99944,1,0.995,0.86882,0.57229,0.40711,0.94598,0.0017624,0.0017624,0.0017624
8,790.956,0.66557,0.42815,0.95879,0.99952,1,0.995,0.88833,0.54411,0.39121,0.92611,0.0017228,0.0017228,0.0017228
9,856.522,0.62576,0.39914,0.94575,0.99968,1,0.995,0.90873,0.51196,0.35042,0.91793,0.0016832,0.0016832,0.0016832
10,921.48,0.61117,0.38809,0.94376,0.99954,1,0.995,0.90288,0.55092,0.33106,0.94908,0.0016436,0.0016436,0.0016436
11,990.42,0.60275,0.37992,0.94375,0.99972,1,0.995,0.89214,0.53436,0.34202,0.94469,0.001604,0.001604,0.001604
12,1056.66,0.5938,0.3721,0.93873,0.9992,1,0.995,0.91046,0.50613,0.32795,0.9296,0.0015644,0.0015644,0.0015644
13,1124.47,0.58472,0.36859,0.93218,0.9997,1,0.995,0.90774,0.51896,0.32313,0.92084,0.0015248,0.0015248,0.0015248
14,1189.13,0.56364,0.35725,0.92697,0.99956,1,0.995,0.92091,0.54224,0.31165,1.01249,0.0014852,0.0014852,0.0014852
15,1256.94,0.54295,0.34493,0.91661,0.99965,1,0.995,0.91842,0.51272,0.30927,0.91133,0.0014456,0.0014456,0.0014456
16,1323.52,0.5292,0.32763,0.91103,0.99963,1,0.995,0.92628,0.51424,0.30921,0.96381,0.001406,0.001406,0.001406
17,1388.74,0.50705,0.3214,0.90641,0.99976,1,0.995,0.94091,0.42002,0.28751,0.88921,0.0013664,0.0013664,0.0013664
18,1455.57,0.51477,0.31708,0.90099,0.99976,1,0.995,0.95607,0.40928,0.26248,0.89504,0.0013268,0.0013268,0.0013268
19,1521.16,0.50555,0.31373,0.90187,0.99968,1,0.995,0.93926,0.40103,0.28297,0.88907,0.0012872,0.0012872,0.0012872
20,1587.24,0.4877,0.30561,0.89833,0.99965,1,0.995,0.94591,0.37035,0.26522,0.87199,0.0012476,0.0012476,0.0012476
21,1653.13,0.48918,0.30494,0.89698,0.99975,1,0.995,0.9516,0.38828,0.26634,0.88924,0.001208,0.001208,0.001208
22,1720.67,0.47335,0.29561,0.89051,0.99978,1,0.995,0.95979,0.37336,0.25854,0.87888,0.0011684,0.0011684,0.0011684
23,1784.72,0.48003,0.29899,0.89291,0.99973,1,0.995,0.95283,0.36102,0.24389,0.86984,0.0011288,0.0011288,0.0011288
24,1850.91,0.4551,0.28102,0.88342,0.99967,1,0.995,0.96428,0.34564,0.24135,0.8607,0.0010892,0.0010892,0.0010892
25,1918.28,0.4569,0.28526,0.88717,0.99974,1,0.995,0.95767,0.34798,0.22571,0.87116,0.0010496,0.0010496,0.0010496
26,1982,0.45108,0.28129,0.88267,0.99976,1,0.995,0.96355,0.34195,0.24381,0.85947,0.00101,0.00101,0.00101
27,2049.44,0.44193,0.27934,0.87692,0.99977,1,0.995,0.96039,0.36087,0.23942,0.86148,0.0009704,0.0009704,0.0009704
28,2115.43,0.43574,0.2757,0.87865,0.99978,1,0.995,0.96984,0.31797,0.2134,0.85554,0.0009308,0.0009308,0.0009308
29,2180.19,0.42227,0.26838,0.87586,0.99975,1,0.995,0.96359,0.33809,0.22391,0.86568,0.0008912,0.0008912,0.0008912
30,2245.44,0.4245,0.26607,0.87536,0.9998,1,0.995,0.96021,0.3202,0.21518,0.85638,0.0008516,0.0008516,0.0008516
31,2311.37,0.40656,0.25649,0.86664,0.99978,1,0.995,0.97016,0.31594,0.20418,0.85459,0.000812,0.000812,0.000812
32,2377.51,0.40602,0.25205,0.86965,0.99979,1,0.995,0.97092,0.31898,0.21876,0.8608,0.0007724,0.0007724,0.0007724
33,2442.69,0.40685,0.25393,0.8682,0.99978,1,0.995,0.9637,0.34819,0.22047,0.85998,0.0007328,0.0007328,0.0007328
34,2509.71,0.40027,0.24955,0.86127,0.99975,1,0.995,0.97458,0.31849,0.20931,0.84737,0.0006932,0.0006932,0.0006932
35,2574.22,0.38039,0.24059,0.85195,0.99977,1,0.995,0.96972,0.31266,0.21002,0.84711,0.0006536,0.0006536,0.0006536
36,2641.22,0.39441,0.24595,0.86524,0.99977,1,0.995,0.96889,0.30691,0.20823,0.85416,0.000614,0.000614,0.000614
37,2707.14,0.38561,0.24152,0.8644,0.99978,1,0.995,0.97776,0.29401,0.20869,0.84169,0.0005744,0.0005744,0.0005744
38,2772.81,0.37785,0.23693,0.85647,0.99979,1,0.995,0.97753,0.28333,0.18586,0.83872,0.0005348,0.0005348,0.0005348
39,2838.73,0.35805,0.22623,0.85212,0.9998,1,0.995,0.9743,0.28174,0.19539,0.83691,0.0004952,0.0004952,0.0004952
40,2904.85,0.3592,0.22787,0.85017,0.99981,1,0.995,0.9757,0.27412,0.18201,0.83823,0.0004556,0.0004556,0.0004556
41,2973.67,0.30694,0.19929,0.81858,0.99974,1,0.995,0.96981,0.31329,0.19618,0.85727,0.000416,0.000416,0.000416
42,3037.15,0.3075,0.1953,0.81207,0.99981,1,0.995,0.97747,0.27575,0.18833,0.84274,0.0003764,0.0003764,0.0003764
43,3102.72,0.30366,0.19394,0.81292,0.99981,1,0.995,0.97812,0.2733,0.18124,0.83991,0.0003368,0.0003368,0.0003368
44,3166.67,0.28798,0.18441,0.81038,0.99981,1,0.995,0.97983,0.27433,0.17961,0.83821,0.0002972,0.0002972,0.0002972
45,3231.08,0.28161,0.17942,0.79939,0.9998,1,0.995,0.98159,0.2628,0.16941,0.83311,0.0002576,0.0002576,0.0002576
46,3295.91,0.27803,0.17718,0.80301,0.99982,1,0.995,0.98316,0.25597,0.16906,0.83133,0.000218,0.000218,0.000218
47,3359.5,0.2692,0.17084,0.80173,0.99981,1,0.995,0.98122,0.25442,0.1725,0.83386,0.0001784,0.0001784,0.0001784
48,3426.12,0.26026,0.16505,0.797,0.99981,1,0.995,0.98301,0.24772,0.16379,0.8317,0.0001388,0.0001388,0.0001388
49,3489.1,0.25433,0.16144,0.79826,0.99981,1,0.995,0.98431,0.24563,0.1571,0.8299,9.92e-05,9.92e-05,9.92e-05
50,3554.93,0.25044,0.15941,0.79046,0.99982,1,0.995,0.98342,0.23932,0.15061,0.82754,5.96e-05,5.96e-05,5.96e-05
